id_sortie,date_unix,date,titre,massif,denivele,skiabilite_score,skiabilite_label,conditions_text,recit_text,summit_name,summit_altitude,summit_lat,summit_lon,topo_id,temp_max,temp_min,precipitation_mm,wind_max_kmh,snowfall_cm,cloud_cover_%,cloud_low_%,cloud_mid_%,cloud_high_%,temp_max_7d_avg,precipitation_7d_sum,snowfall_7d_sum,days_since_last_snow,temp_min_7d_avg,temp_amp_7d_avg,freeze_thaw_cycles_7d,wind_max_7d,recent_snow_7d,topo_orientation,topo_slope_max_deg,topo_difficulty,topo_denivele,date_dt,day_of_week,month,is_weekend,season,temp_range,is_freezing,is_snowing,cloud_total_%,summit_altitude_clean,altitude_category,north_facing,south_facing,east_facing,west_facing,alt_below_2000,alt_2000_2500,alt_2500_3000,alt_above_3000,low_angle,mid_angle,steep,spring_south,high_north,freeze_friendly,decision,decision_num
181310,1680991200,2023-04-08,"Croix de Belledonne, par le lac des Doménons",Belledonne,1760,4,Excellente,"Météo/températures :&nbsp;<br>Conditions d'accès/altitude du parking :&nbsp;<br>Altitude de chaussage/déchaussage :&nbsp;<br>Conditions pour le ski : moquette un peu verglacée sous la lance, poudre en N<br><br>Conditions nivo et activité avalancheuse : RAS ..............................................",Itinéraire suivi : <br>Horaires : <br>,Grande Lance de Domène,2790,45.1716,5.9593,359,8.7,-4.1,0.0,22.3,0.0,40.5,,,,6.185714285714285,6.0,14.000000000000002,,-1.5857142857142856,7.771428571428571,4.0,29.5,0.0,,30.0,3.2,1850,2023-04-08,5,4,1,spring,12.799999999999999,0,0,0.0,2790.0,mid,0,0,0,0,0,0,1,0,0,1,0,0,0,0,good,2
177763,1683496800,2023-05-07,"Grande Casse, face nord centrale",Vanoise,1893,5,Inconnue,"Météo/températures : Couvert le matin, dégagé en fin de matinée<br>Conditions d'accès/altitude du parking : RAS<br>Altitude de chaussage/déchaussage : 1600<br>Conditions pour le ski : Excellentes dans la face, tout poudre. Grand couloir en revanche en neige dure.<br><br>Conditions nivo et activité avalancheuse : RAS&nbsp;","Itinéraire suivi : Montée par les grands couloirs, descente par la face nord centrale<br>Horaires :&nbsp;<br><br><div>Belle journée avec neige de cinéma.&nbsp;</div>",Grande Casse,3855,45.4051,6.8275,1603,6.6,0.5,4.3,5.4,0.0,94.9,,,,7.485714285714286,30.0,46.0,,-1.157142857142857,8.642857142857142,7.0,7.6,1.0,N,,5.2,2300,2023-05-07,6,5,1,spring,6.1,0,0,0.0,3855.0,high,1,0,0,0,0,0,0,1,0,0,0,0,1,0,good,2
176048,1680991200,2023-04-08,"Col de l'Aiguille Verte, Face nord",Mont Blanc,1433,4,Excellente,Météo/températures : grand beau<br>Conditions d'accès/altitude du parking : RAS<br>Altitude de chaussage/déchaussage :&nbsp;<br>Conditions pour le ski : Bonnes. Poudre tassée avec bon grippe. Passage entre les deux pentes en neige dure.&nbsp;<br><br>Conditions nivo et activité avalancheuse : RAS,"Itinéraire suivi : depuis Bochard<br>Horaires : 10h-15h<div><br></div><div>Sortie entrée à posteriori. Du monde dans le bassin ce jour là. Rimaye pas évidente à franchir en solo, heureusement aidé par un groupe de 4 que j'ai rejoint. Conditions froides avec neige froide à poudre tassée dans le bas de la pente. La pente de vois pas beaucoup le soleil à cette époque et il est encore possible de la faire à la journée au départ des remontées. Les 2/3 du bas sont bien raides, cependant le haut légèrement moins ce qui permet de bien s'échauffer.<br><br></div>",Col de l'Aiguille Verte,3796,45.9323,6.9809,1563,3.3,-5.3,0.0,21.0,0.0,44.8,,,,5.642857142857143,7.319,84.0,0.0,-2.3285714285714287,7.971428571428571,5.0,35.3,1.0,N,,5.4,1300,2023-04-08,5,4,1,spring,8.6,0,0,0.0,3796.0,high,1,0,0,0,0,0,0,1,0,0,0,0,1,0,good,2
175119,1675638000,2023-02-05,"Costa Rouenda, face N en boucle",Ubaye - Parpaillon - Alpes Cozie S,1100,4,Excellente,"<div>Accès : Parking de Prébois, route des Orres 1800<br></div><div>Météo/températures : Beau, froid<br></div>Conditions d'accès/altitude du parking : Route claire, parking à 1650m<br>Altitude de chaussage/déchaussage : 1650m / 1650m<br>Conditions pour le ski : Bonnes<br><br>Conditions nivo et activité avalancheuse : Néant","Itinéraire suivi : Depuis le parking de Pré bois, montée au col de l'âne puis arête NE jusqu'au sommet puis descente face Nord et retour parking<br>",Costa Rouenda,2752,44.4507,6.541,1778,4.2,-8.6,1.0,9.0,0.0,21.3,,,,2.8000000000000003,0.0,0.0,,-8.314285714285715,11.114285714285714,6.0,9.7,0.0,N,,3.2,1100,2023-02-05,6,2,1,winter,12.8,0,0,0.0,2752.0,mid,1,0,0,0,0,0,1,0,0,0,0,0,1,0,good,2
174866,1675465200,2023-02-03,Outray,Beaufortain,1550,4,Excellente,Météo/températures : Très beau et chaud<br>Conditions d'accès/altitude du parking : route noire<br>Altitude de chaussage/déchaussage : 1100<br>Conditions pour le ski : couloir transfo et bonne neige dans la forêt. Ski combat dans les vernes<br><br>Conditions nivo et activité avalancheuse : RAS,Itinéraire suivi : voir gpx<br><div>Horaires : 12h - 16h30</div>,Croix d'Outray,2333,45.7343,6.6183,6953,9.7,-7.7,0.0,7.6,0.0,19.9,,,,5.542857142857143,0.0,0.0,,-8.328571428571427,13.87142857142857,7.0,9.4,0.0,W,40.0,3.1,1230,2023-02-03,4,2,0,winter,17.4,0,0,0.0,2333.0,mid,0,0,0,1,0,1,0,0,0,0,1,0,0,0,good,2
173259,1680991200,2023-04-08,"Pic Coolidge, par le Couloir SE de l'antécime 3692m",Ecrins,1940,4,Excellente,"Météo/températures : Grand beau et chaud<br>Conditions d'accès/altitude du parking : route déneigée jusqu'au parking de printemps<br>Altitude de chaussage/déchaussage : parking<br>Conditions pour le ski : neige de printemps dans le couloir, presque trop revenue<br><br>Conditions nivo et activité avalancheuse : des purges en face Sud","Quatrième jours consécutif, après le couloir Nord de Col Claire, l'ouverture au pic de Clouzis et la face NE du pic du Prés des Fonts, direction le Pic Coolidge avec Flo et Axel. Le plan initial est la variante bonne à ski.<div><br></div><div>L'approche déroule et la remontée du couloir Sud Est se fait bien même si ça commence à tirer ! Une fois au sommet on regarde l'entrée dans la face, ça manque un peu de neige on dirait ! La fatigue de ces quatre jours se fait sentir, physiquement et mentalement. Après une longue hésitation on opte pour la descente par le couloir SE plus prudente. Comme ce n'était pas le plan initiale il est presque un peu tard mais en faisant attention au sluff c'est bon à skier !</div><div><br></div><div>Les cuisses chauffent fort. De retour sur le glacier on file jusqu'à la voiture. Pour la bonne à ski on reviendra !</div><div><br></div><div>Compte rendu détaillé ici :</div><div>https://www.quentindegrenelle.com/ski-pente-raide-pic-coolidge-couloir-sud-est.php<br><br></div>",Pic Coolidge,3775,44.91,6.3569,750,2.4,-10.3,0.0,7.2,0.0,43.7,,,,0.7571428571428571,16.3,36.0,0.0,-7.285714285714286,8.042857142857143,5.0,10.8,1.0,SE,,5.1,1940,2023-04-08,5,4,1,spring,12.700000000000001,0,0,0.0,3775.0,high,0,1,1,0,0,0,0,1,0,0,0,1,0,1,good,2
173258,1680732000,2023-04-05,"Col Claire, versant Nord",Ecrins,1740,4,Excellente,"Météo/températures : Beau, vent fort<br>Conditions d'accès/altitude du parking : Chaussage un peu avant le parking d'été<br>Altitude de chaussage/déchaussage : 1700<br>Conditions pour le ski : Excellente dans le couloir, poudreuse profonde<br><br>Conditions nivo et activité avalancheuse : RAS même si le vent a fait de belles accumulations","Départ au lever du jour du pied du col avec Flo et Thomas pour une approche efficace jusqu'au glacier du Lautaret. Le vent est fort, comme prévu, et la neige vole sur les crêtes. Les premières pentes nous paraissent stables jusqu'au ressaut où nous déchaussons pour remettre les skis plus haut. La neige est plus dense, travaillée par le vent, nous y allons un par un jusqu'à rejoindre le rappel qui permet d'accéder à la pente finale.<div><br></div><div>On avait peur qu'elle soit trop chargée mais finalement il n'y a pas eu de transport de neige, bonne nouvelle ! On brasse jusqu'en haut avant de se&nbsp;<span style=""letter-spacing: 0.03em;"">lancer dans la descente avec une ambiance incroyable, les virages s'enchainent dans une poudre profonde à quelques mètres d'une langue de glace vive.</span></div><div><br></div><div>La deuxième partie est moins raide, il faut se frayer un passage sur les banquettes de neige entre les séracs. Tout passe bien en ski. On allonge les virages quand la pente s'élargit jusqu'au glacier. On retrouve la moquette jusqu'en bas. Encore une belle sortie !</div><div><br></div><div>Compte rendu détaillé ici :</div><div>https://www.quentindegrenelle.com/ski-pente-raide-col-claire-couloir-nord.php</div>",Col Claire,3408,44.9983,6.3408,1450,0.0,-9.8,0.0,7.2,0.0,32.8,,,,2.8714285714285714,34.8,72.0,,-3.628571428571429,6.5,7.0,10.8,1.0,N,,5.2,1740,2023-04-05,2,4,0,spring,9.8,0,0,0.0,3408.0,high,1,0,0,0,0,0,0,1,0,0,0,0,1,0,good,2
173257,1677884400,2023-03-03,"Le Lasseron, couloir N",Queyras - Alpes Cozie N,1060,4,Excellente,"Météo/températures : Grand beau<br>Conditions d'accès/altitude du parking : Chaussage à Cervières, montée par la carrière<br>Altitude de chaussage/déchaussage : 1600<br>Conditions pour le ski : bonne, poudre profonde dans le couloir<br><br>Conditions nivo et activité avalancheuse : des traces d'anciennes coulées dans le couloir","Depuis le temps que j'avais ce couloir en tête, il était temps d'y aller. Simon est motivé pour venir avec moi. Pour la stratégie nous choisissons de le faire en boucle en partant de Cervières. Avec la chute de neige des jours précédents, nous craignons de brasser si nous remontons dedans. De plus, il y a un ressaut au milieu du couloir compliqué à grimper d'après les retours que nous avons eu.<div><br></div><div>Montée très efficace, il y a une petite corniche pour rentrer que nous passons skis aux pieds. Le premier couloir est étroit et la neige pas très bonne. Nous arrivons à un premier ressaut qui passe en ski les bonnes années. Manque de chance, il manque un peu de neige pour nous. Simon tente de forcer le passage en dry-ski mais ça ne fait pas. Nous faisons un rappel de cinq mètres sur un relai déjà en place.
</div><div>La suite est une succession de couloirs en neige de cinéma. Quarante centimètres de poudreuse qui nous permettent de nous lâcher dans ce couloir à l'ambiance dolomitique.</div><div><br></div><div>Second rappel obligatoire qui nous permet d'accéder à la dernière partie toujours excellente.</div><div>
</div>",Le Lasseron,2702,44.8624,6.7439,1179,-1.3,-9.5,0.3,8.3,0.0,54.4,,,,-3.242857142857143,25.0,59.0,0.0,-8.557142857142857,5.314285714285714,2.0,25.2,1.0,N,,5.1,1060,2023-03-03,4,3,0,spring,8.2,1,0,0.0,2702.0,mid,1,0,0,0,0,0,1,0,0,0,0,0,1,0,good,2
173256,1676242800,2023-02-12,"Punta Clotesse, Rampe Nord-Ouest",Cerces - Thabor - Mont Cenis,1400,4,Excellente,"Météo/températures : beau et froid<br>Conditions d'accès/altitude du parking : chaussage à plampinet, montée par la route des Acles bien enneigée<br>Altitude de chaussage/déchaussage : 1500<br>Conditions pour le ski : bonne, poudre dans la rampe<br><br>Conditions nivo et activité avalancheuse : RAS","Première dans ce vallon pour moi, direction la Punta Clotesse avec Simon. Beaucoup d'approche, c'est une ligne qui se mérite mais au moins on est sur de ne pas croiser grand monde (voir personne).<div><br></div><div>L'approche se fait bien, une fois au pied de la rampe on brasse beaucoup mais on arrive au sommet sans trop de difficultés. La descente est un régal dans une bonne poudreuse. Ambiance dolomitique avec une grande paroi au dessus de nous.&nbsp;</div><div><br></div><div>Les pentes sous la rampe sont bonnes à skier en visant les zones qui n'ont pas pris le vent.&nbsp;</div><div>Retour à la voiture par la piste sans déchausser.</div><div><br></div>",Punta Clotesse,2872,45.0072,6.74766,6535,3.0,-8.8,0.0,3.2,0.0,0.9,,,,-4.814285714285715,5.8999999999999995,1.0,,-15.785714285714286,10.971428571428572,1.0,9.0,0.0,T,,5.1,1750,2023-02-12,6,2,1,winter,11.8,0,0,0.0,2872.0,mid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,good,2
173031,1681855200,2023-04-18,Amone face NE,Mont Blanc,2000,5,Inconnue,"Météo/températures : beau, regel tout juste suffisant<br>Conditions d'accès/altitude du parking : foule pistes de fond<br>Altitude de chaussage/déchaussage : au bout du plat des pistes de fond<br>Conditions pour le ski : poudre dans la face, pas de trace.<div>Limite soupe en dessous de 2500m vers midi.<br><br>Conditions nivo et activité avalancheuse :&nbsp;<br></div><div>Importantes coulées (de la veille?) versant Est du col d’Argentière.</div>","Avec Thom<div>Belle face dans un coin peu fréquenté comparé à ce qu'on a vu du sommet côté bassin d’Argentière.&nbsp;</div><div>Super conditions comme dans <span style=""letter-spacing: 0.03em;"">La Liste mais on a fait beaucoup plus de virages car on n'a pas le même niveau!</span></div><div><span style=""letter-spacing: 0.03em;"">Enneigement juste suffisant pour 2 minutes de portage.</span></div><div><br></div>",Aiguille de l'Amône,3586,45.9299,7.0426,2995,3.3,-2.5,0.222,20.3,0.0,39.0,,,,7.942857142857143,11.911,127.00000000000001,,-3.442857142857143,11.385714285714286,5.0,43.2,1.0,NE,,5.2,2000,2023-04-18,1,4,0,spring,5.8,0,0,0.0,3586.0,high,1,0,1,0,0,0,0,1,0,0,0,0,1,0,good,2
